Data Medicao,TX,LST_Celsius
2019-01-13,29.55,43.110000000000014
2019-01-15,28.4,37.51000000000005
2019-01-18,25.75,35.63000000000005
2019-01-19,28.3,36.35000000000002
2019-01-20,28.95,45.43000000000001
2019-01-22,28.75,36.59000000000003
2019-01-23,26.0,36.29000000000002
2019-01-24,28.95,44.110000000000014
2019-01-26,29.2,36.57000000000005
2019-01-29,30.35,43.21000000000003
2019-01-31,29.75,48.01000000000005
2019-02-02,29.0,45.73000000000002
2019-02-03,29.9,40.33000000000004
2019-02-07,28.45,42.57000000000005
2019-02-09,28.9,38.63000000000005
2019-02-10,29.45,39.53000000000003
2019-02-12,29.45,46.85000000000002
2019-02-18,29.3,37.79000000000002
2019-02-20,29.75,35.97000000000003
2019-02-21,28.3,41.110000000000014
2019-02-26,31.35,42.950000000000045
2019-02-27,28.3,35.690000000000055
2019-03-09,30.65,47.190000000000055
2019-03-16,29.0,45.13000000000005
2019-03-20,29.5,39.13000000000005
2019-04-05,28.15,38.450000000000045
2019-04-08,27.7,34.27000000000004
2019-04-10,27.9,40.63000000000005
2019-04-14,28.0,32.690000000000055
2019-04-15,29.35,31.130000000000052
2019-04-17,29.35,37.59000000000003
2019-04-18,29.9,34.33000000000004
2019-04-19,30.05,38.63000000000005
2019-04-21,29.45,39.05000000000001
2019-04-22,29.2,37.910000000000025
2019-04-23,30.35,36.59000000000003
2019-04-28,29.4,35.13000000000005
2019-05-01,28.0,33.690000000000055
2019-05-02,28.05,35.410000000000025
2019-05-03,28.55,40.950000000000045
2019-05-04,28.75,34.63000000000005
2019-05-05,28.8,35.23000000000002
2019-05-07,29.15,41.870000000000005
2019-05-18,27.55,33.910000000000025
2019-05-23,29.0,38.110000000000014
2019-05-25,27.7,38.55000000000001
2019-05-26,28.6,37.09000000000003
2019-05-31,28.25,37.57000000000005
2019-06-01,27.45,33.690000000000055
2019-06-03,27.0,38.450000000000045
2019-06-05,28.1,32.97000000000003
2019-06-06,28.6,40.79000000000002
2019-06-08,28.1,37.07000000000005
2019-06-19,26.65,34.190000000000055
2019-06-20,26.85,35.55000000000001
2019-06-21,27.6,33.610000000000014
2019-06-26,27.5,36.190000000000055
2019-06-28,24.9,33.51000000000005
2019-07-02,25.85,35.450000000000045
2019-07-04,27.5,39.07000000000005
2019-07-05,27.35,38.99000000000001
2019-07-06,26.9,41.59000000000003
2019-07-07,27.15,34.81
2019-07-12,26.95,32.55000000000001
2019-07-17,26.5,42.190000000000055
2019-07-18,24.85,35.75000000000006
2019-07-29,24.0,33.150000000000034
2019-07-31,26.4,34.23000000000002
2019-08-03,25.85,36.21000000000003
2019-08-09,26.15,38.05000000000001
2019-08-13,26.75,40.77000000000004
2019-08-18,24.3,32.99000000000001
2019-08-20,27.25,42.75000000000006
2019-08-21,27.6,42.450000000000045
2019-08-22,27.55,41.23000000000002
2019-08-23,24.5,35.97000000000003
2019-08-28,26.9,34.51000000000005
2019-08-29,26.35,41.09000000000003
2019-08-30,28.05,40.910000000000025
2019-09-01,28.5,43.47000000000003
2019-09-05,27.45,40.79000000000002
2019-09-06,26.85,39.83000000000004
2019-09-07,28.0,38.150000000000034
2019-09-08,25.7,41.450000000000045
2019-09-09,27.0,37.33000000000004
2019-09-10,27.9,41.13000000000005
2019-09-12,28.55,44.77000000000004
2019-09-13,27.55,43.55000000000001
2019-09-14,28.7,43.910000000000025
2019-09-15,28.55,47.55000000000001
2019-09-19,29.15,45.51000000000005
2019-09-20,28.35,42.410000000000025
2019-09-21,29.0,45.410000000000025
2019-09-22,28.25,47.39000000000004
2019-09-24,28.8,41.97000000000003
2019-09-25,28.75,40.81
2019-09-26,28.55,46.55000000000001
2019-09-28,30.45,49.09000000000003
2019-09-29,28.4,45.110000000000014
2019-09-30,28.9,46.450000000000045
2019-10-03,29.65,48.150000000000034
2019-10-05,29.15,49.150000000000034
2019-10-06,29.0,45.93000000000001
2019-10-07,28.45,46.89000000000004
2019-10-08,28.45,46.33000000000004
2019-10-09,28.95,39.57000000000005
2019-10-10,29.3,44.73000000000002
2019-10-12,27.85,46.190000000000055
2019-10-14,27.9,37.31
2019-10-16,29.7,46.950000000000045
2019-10-17,28.95,47.97000000000003
2019-10-19,28.65,49.43000000000001
2019-10-21,28.25,44.79000000000002
2019-10-22,29.6,43.31
2019-10-23,30.6,48.35000000000002
2019-10-24,30.55,48.81
2019-10-25,31.0,45.81
2019-10-27,30.25,37.85000000000002
2019-10-28,31.2,49.43000000000001
2019-10-30,29.2,49.110000000000014
2019-10-31,30.2,48.870000000000005
2019-11-01,30.25,43.33000000000004
2019-11-02,30.4,50.610000000000014
2019-11-03,29.75,38.650000000000034
2019-11-04,29.1,46.870000000000005
2019-11-06,30.6,49.21000000000003
2019-11-07,30.3,44.370000000000005
2019-11-08,30.05,47.01000000000005
2019-11-09,30.2,45.81
2019-11-10,30.2,46.03000000000003
2019-11-13,30.85,40.55000000000001
2019-11-15,30.65,47.110000000000014
2019-11-16,30.45,36.99000000000001
2019-11-17,29.4,42.51000000000005
2019-11-22,29.6,51.05000000000001
2019-11-23,30.1,40.47000000000003
2019-11-24,31.8,53.49000000000001
2019-11-26,30.1,38.43000000000001
2019-11-27,30.1,47.79000000000002
2019-11-28,29.9,43.950000000000045
2019-11-29,30.65,51.83000000000004
2019-12-01,30.4,49.29000000000002
2019-12-02,31.45,50.450000000000045
2019-12-03,32.0,49.53000000000003
2019-12-04,31.35,47.71000000000003
2019-12-05,29.5,41.55000000000001
2019-12-08,30.65,40.450000000000045
2019-12-09,29.45,36.53000000000003
2019-12-10,29.6,47.870000000000005
2019-12-11,30.25,47.83000000000004
2019-12-12,30.5,39.21000000000003
2019-12-13,30.3,51.79000000000002
2019-12-14,30.75,41.950000000000045
2019-12-17,27.9,38.53000000000003
2019-12-18,29.85,46.670000000000016
2019-12-19,30.3,47.83000000000004
2019-12-20,29.6,36.63000000000005
2019-12-22,30.65,51.43000000000001
2019-12-24,30.95,50.71000000000003
2019-12-26,29.4,44.99000000000001
2020-01-09,30.8,35.57000000000005
2020-01-11,29.35,46.99000000000001
2020-01-12,29.8,48.950000000000045
2020-01-13,30.75,48.23000000000002
2020-01-14,31.65,53.35000000000002
2020-01-18,30.7,45.07000000000005
2020-01-27,30.65,45.09000000000003
2020-01-28,29.7,44.610000000000014
2020-02-01,26.1,38.39000000000004
2020-02-08,28.95,40.57000000000005
2020-02-10,29.95,44.51000000000005
2020-02-12,29.35,36.25000000000006
2020-02-17,29.4,35.43000000000001
2020-02-19,29.0,39.85000000000002
2020-02-23,30.75,38.670000000000016
2020-02-24,29.05,39.43000000000001
2020-02-26,29.65,46.55000000000001
2020-02-27,29.95,38.670000000000016
2020-02-28,29.0,43.23000000000002
2020-03-02,28.1,39.53000000000003
2020-03-06,29.3,42.63000000000005
2020-03-11,28.75,36.55000000000001
2020-03-13,27.85,39.21000000000003
2020-03-14,28.3,30.390000000000043
2020-03-26,27.8,27.630000000000052
2020-03-27,28.6,38.450000000000045
2020-03-29,28.65,37.81
2020-04-03,28.95,37.35000000000002
2020-04-05,28.55,37.47000000000003
2020-04-08,29.3,34.170000000000016
2020-04-09,29.45,37.110000000000014
2020-04-10,28.8,38.71000000000003
2020-04-11,28.9,29.910000000000025
2020-04-12,28.95,36.47000000000003
2020-04-14,28.7,36.07000000000005
2020-04-15,28.75,41.370000000000005
2020-04-23,26.6,27.370000000000005
2020-04-25,27.45,31.130000000000052
2020-04-28,27.25,29.450000000000045
2020-05-03,27.2,32.610000000000014
2020-05-04,27.9,25.230000000000015
2020-05-07,27.95,33.31
2020-05-14,28.5,36.150000000000034
2020-05-20,28.25,20.630000000000052
2020-05-25,27.5,34.97000000000003
2020-06-01,27.25,32.35000000000002
2020-06-03,27.8,32.55000000000001
2020-06-08,27.85,32.83000000000004
2020-06-13,27.1,35.710000000000036
2020-06-17,26.95,33.01000000000005
2020-06-21,25.5,30.090000000000032
2020-06-22,26.7,35.150000000000034
2020-06-24,26.45,34.01000000000005
2020-06-26,26.7,29.510000000000048
2020-07-01,25.6,29.31
2020-07-03,26.75,38.950000000000045
2020-07-04,27.3,33.710000000000036
2020-07-08,26.65,32.110000000000014
2020-07-12,24.8,28.710000000000036
2020-07-14,26.5,26.430000000000007
2020-07-19,27.6,34.910000000000025
2020-07-21,26.3,36.190000000000055
2020-07-22,26.35,35.55000000000001
2020-07-23,26.65,27.850000000000023
2020-07-24,26.4,39.450000000000045
2020-07-28,26.75,39.03000000000003
2020-07-30,25.25,32.93000000000001
2020-08-02,25.85,31.130000000000052
