Data Medicao,Hora Medicao,TX,LST_Celsius
2009-07-15,1200,24.0,29.170000000000016
2009-07-17,1200,22.3,27.481538461538495
2009-07-18,1200,23.2,33.194195979899526
2009-07-21,1200,24.7,29.69640939597318
2009-07-23,1200,22.5,28.300100502512585
2009-07-24,1200,23.8,28.27459537572256
2009-07-25,1200,23.9,21.88907046476763
2009-07-26,1200,24.0,32.236439628483005
2009-07-28,1200,22.7,37.37055276381912
2009-07-30,1200,24.0,34.727060301507564
2009-07-31,1200,23.1,31.137157534246608
2009-08-01,1200,23.6,23.235660377358535
2009-08-02,1200,22.8,31.181849710982693
2009-08-04,1200,23.2,34.034539559014306
2009-08-06,1200,22.3,34.536281407035204
2009-08-08,1200,22.6,25.208832684824944
2009-08-10,1200,21.6,24.917924528301914
2009-08-11,1200,24.1,34.51869942196536
2009-08-13,1200,22.7,29.37009029345376
2009-08-16,1200,21.5,25.61549575070825
2009-08-17,1200,24.0,29.46440298507466
2009-08-20,1200,24.4,36.97716981132079
2009-08-22,1200,25.0,40.56590452261309
2009-08-24,1200,25.1,34.48927135678394
2009-08-29,1200,24.8,29.37267123287674
2009-08-31,1200,23.7,34.894321608040215
2009-09-01,1200,23.6,36.44763819095481
2009-09-02,1200,24.9,30.19690954773873
2009-09-03,1200,25.0,36.93369346733672
2009-09-04,1200,24.8,35.90334170854274
2009-09-05,1200,24.6,42.03497487437188
2009-09-07,1200,25.2,39.845100502512594
2009-09-09,1200,25.3,29.50075144508671
2009-09-14,1200,25.4,40.35552763819099
2009-09-16,1200,25.9,41.175427135678405
2009-09-18,1200,26.3,37.57881502890176
2009-09-19,1200,26.0,44.22085427135683
2009-09-20,1200,26.0,32.91651162790702
2009-09-21,1200,25.9,45.66422110552768
2009-09-23,1200,25.6,43.888567839196014
2009-09-24,1200,24.1,41.39391959798997
2009-09-25,1200,25.5,44.830226130653294
2009-09-26,1200,25.2,41.88070351758796
2009-09-27,1200,25.9,34.45296482412062
2009-09-29,1200,24.7,37.49095477386936
2009-09-30,1200,26.2,47.39150753768848
2009-10-02,1200,25.9,46.14020100502516
2009-10-03,1200,26.1,43.62758793969852
2009-10-04,1200,25.4,41.64226130653268
